date, pm25, pm10, o3, no2, so2, co
2019/7/2, 49, 29, 97, , 4, 4
2019/7/3, 44, 27, 77, , 5, 4
2019/7/4, 47, 41, 99, , 3, 5
2019/7/5, 48, 31, 86, 21, 4, 5
2019/7/6, 42, 39, 79, 20, 5, 4
2019/7/7, 52, 33, 69, 18, 5, 4
2019/7/8, 55, 31, 99, 20, 2, 5
2019/7/9, 47, 28, 110, 36, 3, 6
2019/7/10, 49, 33, 133, 22, 3, 4
2019/7/11, 49, 27, 78, 28, 4, 5
2019/7/12, 49, 20, 45, 25, 3, 4
2019/7/13, 37, 24, 88, 23, 3, 5
2019/7/14, 35, 13, 84, 15, 5, 6
2019/7/15, 31, 16, 63, 21, 4, 5
2019/7/16, 39, 24, 67, 24, 5, 5
2019/7/17, 44, 31, 85, 20, 4, 4
2019/7/18, 54, 26, 78, 28, 5, 5
2019/4/2, 44, 55, 37, , 5, 5
2019/4/3, 64, 50, 34, , 5, 4
2019/4/4, 66, 57, 36, , 6, 5
2019/4/5, 68, 50, 36, , 5, 3
2019/4/6, 55, , , , , 
2019/4/7, 65, , , , , 
2019/4/8, 73, 55, 48, 27, 5, 4
2019/4/9, 69, 64, 45, 28, 4, 7
2019/4/10, 68, 60, 37, 28, 8, 7
2019/4/11, 62, 64, 39, 8, 5, 3
2019/4/12, 69, 68, 38, 26, 4, 6
2019/4/13, 82, 51, 39, 14, 4, 4
2019/4/14, 65, 64, 46, 34, 5, 9
2019/4/15, 76, 59, 37, 21, 5, 6
2019/4/16, 84, 72, 37, 22, 5, 6
2019/4/17, 90, 64, 29, 26, 6, 5
2019/4/18, 67, 55, 42, , 4, 5
2019/4/19, 51, 62, 35, , 3, 6
2019/4/20, 66, 66, 40, , 6, 6
2019/4/21, 86, 48, 33, , 5, 5
2019/4/22, 55, 51, 33, , 4, 4
2019/4/23, 61, 62, 34, , 6, 5
2019/4/24, 74, 65, 24, , 7, 6
2019/4/25, 69, 63, 58, , 7, 7
2019/4/26, 67, 66, 44, , 7, 6
2019/4/27, 84, 60, 40, , 6, 6
2019/4/28, 79, , , , , 
2019/4/29, 79, , , , , 
2019/4/30, 91, 65, 46, 38, 3, 2
2019/5/1, 96, 69, 19, 43, 2, 4
2019/5/2, 56, 57, 39, 20, 5, 4
2019/5/3, 56, 54, 30, 142, 6, 5
2019/5/4, 46, 56, 30, 54, 6, 5
2019/5/5, 59, 65, 30, 27, 3, 5
2019/5/6, 71, 56, 38, 25, 5, 5
2019/5/7, 60, 66, 42, 27, 3, 5
2019/5/8, 63, 102, 19, 56, 5, 5
2019/5/9, 49, 81, 37, 79, 8, 11
2019/5/10, 96, 62, 33, 17, 6, 6
2019/5/11, 92, 71, 28, 100, 7, 9
2019/5/12, 61, 58, 24, 67, 5, 8
2019/5/13, 71, 65, 28, 71, 5, 7
2019/5/14, 94, 73, 28, 31, 5, 9
2019/5/15, 73, 63, 36, 27, 5, 7
2019/5/16, 94, 75, 35, 28, 7, 9
2019/5/17, 102, , , , , 
2019/5/18, 86, 64, 30, 24, 4, 5
2019/5/19, 72, 52, 41, 25, 4, 7
2019/5/20, 58, 58, 36, 15, 11, 5
2019/5/21, 71, 53, 34, 17, 4, 5
2019/5/22, 54, 57, 35, 30, 4, 6
2019/5/23, 64, 81, , , , 18
2019/5/24, 111, , , , , 
2019/6/19, 48, , , , , 
2019/6/20, 52, , , , , 
2019/6/21, 65, , , , , 
2019/6/22, 70, , , , , 
2019/6/23, 76, 999, 97, , 3, 8
2019/6/24, 61, 385, 75, 8, 4, 7
2019/6/25, 67, 44, 66, 15, 4, 7
2019/6/26, 65, 22, 63, , 3, 7
2019/6/27, 51, 23, 59, , 3, 6
2019/6/28, 49, 29, 66, , 4, 5
2019/6/29, 52, 35, 73, , 4, 4
2019/6/30, 52, 22, 78, , 3, 5
2019/7/1, 46, 31, 88, , 4, 6
2019/1/2, 234, , , , , 
2019/1/7, 30, 80, 36, 40, 13, 
2019/1/8, 84, 91, 53, 46, 8, 
2019/1/9, 105, 82, 40, 36, 6, 
2019/1/10, 92, 56, 46, 25, 6, 
2019/1/11, 69, 51, 28, 27, 6, 
2019/1/12, 73, 52, 28, 30, 6, 
2019/1/13, 76, 48, 28, 24, 5, 
2019/1/14, 75, 47, 30, 25, 4, 
2019/1/15, 62, 32, 28, 27, 4, 
2019/1/16, 69, 65, 29, 36, 5, 
2019/1/17, 112, 43, 29, 28, 6, 
2019/1/18, 63, , , , , 
2019/1/19, 64, , , , , 
2019/1/20, 106, 54, 33, 25, 4, 
2019/1/21, 50, 90, 42, 34, 7, 9
2019/1/22, 97, 75, 36, 51, 6, 9
2019/1/23, 89, 52, 31, 53, 5, 7
2019/1/24, 66, 81, 30, 70, 6, 12
2019/1/25, 100, 72, 28, 68, 6, 10
2019/1/26, 70, 57, 26, 47, 5, 6
2019/1/27, 53, 60, 39, 50, 5, 10
2019/1/28, 59, 110, 39, 74, 9, 19
2019/1/29, 106, 66, 41, 59, 6, 8
2019/1/30, 71, 70, 33, 53, 8, 9
2019/1/31, 55, 66, 25, 51, 8, 10
2019/2/1, 63, 55, 5, 47, 6, 7
2019/2/2, 54, 78, 33, 63, 7, 13
2019/2/3, 97, 68, 32, 56, 7, 13
2019/2/4, 82, 68, 40, 57, 7, 10
2019/2/5, 82, 70, 42, 58, 7, 10
2019/2/6, 78, 73, 40, 56, 9, 10
2019/2/7, 80, 75, 55, 63, 13, 9
2019/2/8, 90, 95, 40, 71, 8, 12
2019/2/9, 108, 58, 40, 50, 6, 5
2019/2/10, 75, 52, 38, 35, 5, 6
2019/2/11, 77, 50, 28, 30, 6, 4
2019/2/12, 59, 55, 39, 21, 5, 6
2019/2/13, 65, 52, 35, 17, 6, 4
2019/2/14, 60, 52, 24, 17, 5, 5
2019/2/15, 59, 62, 27, 21, 7, 8
2019/2/16, 56, 65, 37, 18, 6, 7
2019/2/17, 76, 51, 26, 16, 4, 7
2019/2/18, 55, 55, 25, 15, 4, 5
2019/2/19, 55, 64, 18, 15, 4, 8
2019/2/20, 52, 65, 22, 14, 4, 6
2019/2/21, 53, 69, 18, 13, 4, 6
2019/2/22, 69, 53, 14, 11, 2, 5
2019/2/23, 33, 31, 24, 16, 5, 6
2019/2/24, 50, 76, 29, 19, 8, 19
2019/2/25, 88, 54, 25, 19, 3, 9
2019/2/26, 61, 65, 38, 24, 4, 9
2019/2/27, 69, 58, 42, 21, 4, 6
2019/2/28, 56, 65, 40, 21, 5, 7
2019/3/1, 64, 57, 21, 10, 4, 5
2019/3/2, 51, 51, 45, 15, 2, 5
2019/3/3, 64, 59, 41, 23, 2, 10
2019/3/4, 66, 56, 39, 15, 8, 5
2019/3/5, 65, 69, 57, 25, 6, 8
2019/3/6, 83, 57, 17, 23, 5, 7
2019/3/7, 74, , , , , 
2019/3/8, 77, , , , , 
2019/3/9, 73, , , , , 
2019/3/10, 69, , , , , 
2019/3/11, 69, , , , , 
2019/3/12, 90, 60, 28, 8, 2, 9
2019/3/13, 77, 54, 34, 12, 4, 4
2019/3/14, 68, 59, 40, 16, 2, 7
2019/3/15, 73, 65, 30, 13, 6, 6
2019/3/16, 73, 54, 28, 12, 6, 5
2019/3/17, 63, 44, 31, 15, 5, 6
2019/3/18, 75, 48, 29, 11, 5, 5
2019/3/19, 64, 45, 38, 11, 4, 6
2019/3/20, 44, 52, 32, 19, 4, 5
2019/3/21, 54, 50, 32, 12, 5, 5
2019/3/22, 31, 56, 31, 11, 5, 5
2019/3/23, 49, 54, 40, 15, 6, 7
2019/3/24, 48, 53, 47, 13, 6, 6
2019/3/25, 63, 63, 62, 20, 6, 6
2019/3/26, 82, 77, 72, 21, 4, 6
2019/3/27, 80, 64, 46, 20, 6, 6
2019/3/28, 81, 72, 49, , 4, 6
2019/3/29, 86, 69, 40, , 6, 6
2019/3/30, 74, 62, 44, , 7, 6
2019/3/31, 74, 52, 41, , 5, 6
2019/4/1, 56, 56, 34, , 6, 5
2018/10/17, 5, , 19, 18, , 5
2018/10/18, 42, , 30, 18, 1, 5
2018/10/19, 24, , 25, 16, 3, 4
2018/10/20, 26, , 17, 13, 5, 4
2018/11/8, 59, , 44, 35, 2, 7
2018/11/9, 63, , 57, 31, 5, 10
2018/11/10, 71, , 63, 29, 4, 9
2018/11/11, 80, , 52, 22, 4, 7
2018/11/12, 55, , 54, 21, 7, 6
2018/11/13, 59, , 26, 25, 3, 7
2018/11/14, 61, , 44, 25, 5, 6
2018/11/15, 32, , 33, 14, 2, 3
2018/11/16, 56, , 42, 27, 3, 6
2018/11/17, 96, , 42, 33, 5, 14
2018/11/18, 85, , 51, 31, 10, 14
2018/11/19, 104, , 43, 29, 6, 18
2018/11/20, 78, , 34, 29, 6, 13
2018/11/21, 99, , 48, 39, 7, 18
2018/11/22, 94, , 54, 39, 10, 17
2018/11/23, 81, , 45, 33, 6, 11
2018/11/24, 87, , 58, 34, 7, 14
2018/11/25, 112, , 29, 31, 8, 21
2018/11/26, 68, 58, 29, 26, 7, 13
2018/11/27, 101, 56, 34, 31, 9, 16
2018/11/28, 76, 20, 30, 28, 6, 9
2018/11/29, 43, 12, 10, 28, 3, 6
2018/11/30, 28, 31, 19, 21, 6, 3
2018/12/1, 42, 75, 33, 25, 4, 7
2018/12/2, 83, 46, 1, 36, 5, 18
2018/12/3, 61, 77, 44, 27, 4, 16
2018/12/4, 97, 79, 45, 40, 5, 23
2018/12/5, 90, 53, 35, 42, 7, 18
2018/12/6, 80, 42, 38, 29, 6, 11
2018/12/7, 70, 51, 37, 26, 4, 7
2018/12/8, 81, 32, 26, 30, 5, 10
2018/12/9, 42, 44, 23, 22, 4, 7
2018/12/10, 69, 51, 35, 22, 7, 12
2018/12/11, 68, 61, 38, 28, 4, 10
2018/12/12, 100, 53, 40, 35, 5, 12
2018/12/13, 91, 41, 16, 29, 4, 10
