date, pm25, pm10, o3, no2, so2, co
2021/4/2, 135, 34, 32, , 4, 4
2021/4/3, 56, 48, 41, , 5, 5
2021/4/4, 88, 40, 41, , 7, 6
2021/4/5, 79, 53, 41, , 6, 7
2021/4/6, 85, 66, 34, , 6, 6
2021/4/7, 89, 61, 38, , 7, 6
2021/4/8, 67, 74, 35, , 5, 6
2021/4/9, 85, 85, 35, , 9, 6
2021/4/10, 82, , 31, , 8, 6
2021/4/11, 75, , 36, , 5, 5
2021/4/12, 64, , 34, , 6, 7
2021/4/13, 74, , 35, , 6, 7
2021/4/14, 84, , 58, , 6, 11
2021/4/15, 120, 22, 37, , 7, 8
2021/3/2, 52, , , , , 
2021/2/2, 69, 60, 47, , 7, 7
2021/2/3, 82, 71, 61, , 8, 11
2021/2/4, 107, 52, 39, , 6, 7
2021/2/5, 80, 51, 31, , 7, 9
2021/2/6, 93, 45, 26, , 4, 8
2021/2/7, 87, 52, 28, , 7, 11
2021/2/8, 98, 38, 28, , 5, 6
2021/2/9, 68, 42, 34, 17, 7, 7
2021/2/10, 72, 42, 26, 42, 5, 5
2021/2/11, 63, 47, 21, 21, 7, 7
2021/2/12, 78, 53, 26, 20, 7, 6
2021/2/13, 62, 37, 28, 19, 3, 6
2021/2/14, 51, 37, 27, 15, 5, 4
2021/2/15, 50, 38, 28, 17, 2, 4
2021/2/16, 59, 51, 27, 20, 7, 7
2021/2/17, 67, 35, 26, 20, 6, 6
2021/2/18, 51, 41, 28, 24, 9, 6
2021/2/19, 66, 57, 30, 30, 8, 12
2021/2/20, 78, 82, 61, 41, 12, 14
2021/2/21, 123, 44, 38, 18, 7, 6
2021/2/22, 82, , , , , 
2021/1/15, 76, 67, 24, 38, 6, 20
2021/1/16, 100, 66, 29, 37, 7, 17
2021/1/17, 106, 73, 25, 33, 5, 16
2021/1/18, 72, 37, 27, 25, 5, 13
2021/1/19, 106, 65, 24, 31, 6, 12
2021/1/20, 79, 47, 21, 23, 6, 10
2021/1/21, 102, 50, 16, 26, 6, 13
2021/1/22, 112, 41, 29, 22, 4, 12
2021/1/23, 74, 35, 29, 21, 6, 8
2021/1/24, 95, 47, 29, 25, 6, 12
2021/1/25, 98, 43, 27, 23, 5, 9
2021/1/26, 58, 33, 21, 18, 2, 6
2021/1/27, 75, 42, 24, 23, 5, 11
2021/1/28, 121, 73, 34, 32, 6, 22
2021/1/29, 89, 61, 34, 12, 5, 9
2021/1/30, 80, 58, 41, 8, 4, 9
2021/1/31, 65, 33, 34, 10, 4, 6
2021/2/1, 87, 57, 39, 9, 5, 12
2020/10/10, 186, 53, , , , 
2020/10/22, 39, 42, 35, , 4, 4
2020/10/23, 44, 33, 62, , 5, 5
2020/10/24, 25, 20, 14, , 2, 3
2020/10/26, 35, 35, 47, , 3, 3
2020/10/27, 44, 40, 59, , 6, 5
2020/10/28, 27, 26, 34, , 4, 3
2020/10/29, 38, 29, 36, , 6, 5
2020/10/30, 45, 41, 39, , 3, 7
2020/10/31, 26, 43, 33, , 2, 5
2020/11/1, 38, 49, 42, , 5, 6
2020/11/2, 56, 69, 31, , 7, 
2020/11/3, 26, 38, 27, , 2, 3
2020/11/4, 23, 36, 35, , 6, 7
2020/11/5, 31, 57, 29, , 6, 8
2020/11/6, 35, 53, 25, , 5, 8
2020/11/7, 35, 63, 37, 37, 8, 10
2020/11/8, 43, 63, 45, 32, 6, 9
2020/11/9, 41, 32, 31, 21, 5, 7
2020/11/10, 42, 52, 29, 27, 8, 9
2020/11/11, 45, 43, 27, 26, 6, 7
2020/4/2, 62, 45, 37, 7, 2, 3
2020/4/3, 67, 28, 21, 6, 4, 2
2020/4/4, 28, , , , , 
2020/4/6, 25, 41, 28, 9, , 4
2020/4/7, 56, 38, 32, 9, 1, 3
2020/4/8, 56, 46, 35, 11, , 4
2020/4/9, 70, 38, 36, 9, 2, 3
2020/4/10, 57, 32, 28, 10, , 3
2020/4/11, 55, 35, 14, 12, 1, 3
2020/4/12, 58, 34, 25, , 2, 1
2020/4/13, 28, 29, 39, , 1, 3
2020/4/14, 44, 53, 48, , 1, 5
2020/4/15, 79, 41, 34, , 1, 4
2020/4/16, 57, 40, 38, , , 2
2020/4/17, 52, 49, 40, , 2, 4
2020/4/18, 81, 30, 20, , 2, 3
2020/4/19, 58, , , , , 
2020/4/21, 32, 48, 51, , 1, 4
2020/4/22, 72, 54, 45, , 1, 4
2020/4/23, 85, 34, 42, , 1, 1
2020/4/24, 65, 43, 52, , 2, 4
2020/4/25, 99, 49, 49, , 1, 3
2020/4/26, 82, 58, 40, , 1, 3
2020/4/27, 92, 42, 52, , 2, 3
2020/4/28, 82, 38, 39, , 2, 3
2020/4/29, 76, 42, 57, , 1, 4
2020/4/30, 73, 56, 41, , 1, 4
2020/5/1, 85, 40, 20, , 2, 5
2020/5/2, 53, 35, 45, , , 3
2020/5/3, 84, 37, 53, , 1, 3
2020/5/4, 76, 43, 58, , 1, 4
2020/5/5, 72, 32, 48, , , 3
2020/5/6, 60, 21, 43, , 1, 3
2020/5/7, 40, 23, 40, , , 3
2020/5/8, 49, 35, 51, , 3, 4
2020/5/9, 64, 19, 51, , 1, 1
2020/5/10, 28, 27, 41, , 1, 3
2020/5/11, 27, 34, 46, , 1, 4
2020/5/12, 45, 36, 41, , 1, 5
2020/5/13, 28, 39, 46, , , 4
2020/5/14, 30, 42, 46, , 1, 3
2020/5/15, 68, 29, 31, , 2, 2
2020/5/16, 69, 26, 35, , 1, 1
2020/5/17, 34, 38, 42, , 2, 5
2020/5/18, 73, 46, 57, , 4, 5
2020/5/19, 91, 43, 39, , 1, 4
2020/5/20, 81, 30, 27, , 1, 2
2020/5/21, 39, 26, 22, , , 3
2020/5/22, 59, , , , , 
2020/5/24, 33, 23, 41, , 1, 2
2020/5/25, 54, 36, 47, , 2, 4
2020/5/26, 66, 43, 52, , 2, 4
2020/5/27, 75, 47, 59, , 2, 2
2020/5/28, 74, 55, 53, , 2, 4
2020/5/29, 85, 54, 30, , 1, 3
2020/5/30, 64, 41, 34, , 4, 1
2020/5/31, 41, 21, 45, , 1, 1
2020/6/1, 24, 53, 34, , , 3
2020/6/2, 23, 33, 71, , 1, 4
2020/6/4, 97, 33, 34, , 1, 2
2020/6/5, 56, 54, 17, , 1, 3
2020/6/6, 78, 47, 52, , 2, 3
2020/6/7, 67, 23, 31, , 1, 1
2020/6/8, 54, 27, 34, , 1, 1
2020/6/9, 53, 37, 68, , 3, 4
2020/6/10, 64, 38, 32, , 1, 3
2020/6/11, 66, 36, 32, , , 2
2020/6/12, 69, 26, 22, , 1, 2
2020/6/13, 31, 32, 37, , 1, 1
2020/6/14, 43, 34, 49, , 2, 3
2020/6/15, 66, 29, 54, , 3, 4
2020/6/16, 60, 47, 52, , , 3
2020/6/17, 57, 46, 77, , , 5
2020/6/18, 73, 41, 55, , 2, 5
2020/6/19, 75, 65, 9, , 1, 8
2020/6/20, 81, 54, 61, , 1, 5
2020/6/21, 76, 31, 67, , 5, 3
2020/6/22, 52, 35, 39, , 3, 3
2020/6/23, 66, 47, 33, , 3, 3
2020/6/24, 87, 33, 31, , 2, 2
2020/6/25, 87, 36, 26, , 2, 4
2020/1/2, 64, 9, 13, , , 1
2020/1/3, 38, 41, 19, 13, 6, 11
2020/1/5, 28, 45, 1, 5, 2, 6
2020/1/6, 96, , , , , 
2020/1/9, 76, 81, 35, 4, 3, 15
2020/1/10, 134, 44, 21, 1, 1, 10
2020/1/11, 70, 52, 30, 3, 3, 8
2020/1/12, 60, 58, 31, 3, 4, 10
2020/1/13, 94, 53, 37, 3, 1, 13
2020/1/14, 76, 86, 41, 7, 5, 14
2020/1/15, 113, 78, 45, 11, 4, 12
2020/1/16, 110, 64, 36, 8, 3, 8
2020/1/17, 95, 42, 33, 6, 3, 5
