date, pm25, pm10, o3, no2, so2, co
2020/10/2, 84, , 30, , 3, 3
2020/10/3, 75, , 17, , 3, 3
2020/10/4, 61, , , , , 
2020/10/8, 96, , 39, , 3, 4
2020/10/9, 116, , 29, , 3, 2
2020/10/10, 37, , , , , 
2020/10/12, 86, , 38, , 2, 4
2020/10/13, 100, , 29, , 2, 4
2020/10/14, 77, , 50, , 2, 2
2020/10/15, 70, , 35, , 2, 2
2020/10/16, 73, , 17, , 2, 4
2020/10/17, 60, , , , , 
2020/10/18, 45, , , , , 
2020/10/19, 88, , , , , 
2020/10/20, 70, , , , , 
2020/10/21, 77, , , , , 
2020/10/22, 89, , , , , 
2020/10/23, 24, , , , , 
2020/10/26, 100, , , , , 
2020/10/27, 100, , , , , 
2020/10/28, 83, , , , , 
2020/10/29, 70, , , , , 
2020/10/30, 79, , , , , 
2020/10/31, 91, , , , , 
2020/11/1, 101, , , , , 
2020/11/2, 113, , , , , 
2020/11/3, 82, , 35, , 1, 
2020/11/4, 82, , 32, , 3, 
2020/11/5, 106, , 29, , 3, 
2020/11/6, 112, , 41, , 2, 
2020/11/7, 107, , 51, , 1, 
2020/11/8, 114, , 37, , 3, 
2020/11/9, 71, , 4, , 3, 
2020/11/10, 87, , 30, , 10, 
2020/11/11, 93, , 19, , 4, 
2020/11/12, 78, , 50, , 5, 
2020/12/1, 87, , , , 3, 
2020/12/2, 68, , 33, , 2, 
2020/12/3, 79, , 25, , 2, 
2020/12/4, 68, , 12, , 3, 
2020/12/5, 60, , 16, , 5, 
2020/12/6, 46, , 11, , 4, 
2020/12/7, 50, , 14, , 4, 
2020/12/8, 54, , 23, , 4, 
2020/12/9, 72, , 34, , 3, 
2020/12/10, 96, , 23, , 4, 
2020/12/11, 69, , 22, , 4, 
2020/12/12, 71, , 1, , 4, 
2020/12/13, 89, , 21, , 3, 
2020/12/14, 61, , 23, , 4, 
2020/12/15, 73, , 17, , 4, 
2020/12/16, 58, , 23, , 5, 
2020/12/17, 76, , 28, , 5, 
2020/12/18, 82, , 28, , 5, 
2020/12/19, 93, , 32, , 7, 
2020/7/2, 58, , 46, , 3, 5
2020/7/3, 48, , 36, , 1, 3
2020/7/4, 64, , 40, , 2, 2
2020/7/5, 80, , 51, , 2, 3
2020/7/6, 56, , 69, , 2, 3
2020/7/7, 70, , 45, , 2, 3
2020/7/8, 60, , 28, , 1, 3
2020/7/9, 43, , 24, , 3, 5
2020/7/10, 56, , 25, , 1, 3
2020/7/11, 38, , 13, , 2, 4
2020/7/12, 36, , , , , 
2020/7/14, 71, , 38, , 3, 3
2020/7/15, 55, , 42, , 3, 3
2020/7/16, 72, , 60, , 3, 3
2020/7/17, 63, , 50, , 2, 3
2020/7/18, 54, , 18, , 3, 2
2020/7/19, 53, , 52, , 3, 4
2020/7/20, 66, , 51, , 3, 3
2020/7/21, 62, , 12, , 3, 3
2020/7/22, 14, , 34, , 3, 4
2020/7/23, 93, , 39, , 3, 2
2020/7/24, 58, , 20, , 3, 1
2020/7/25, 42, , , , , 
2020/7/27, 61, , 26, , 2, 3
2020/7/28, 40, , 38, , 3, 3
2020/7/29, 51, , 12, , 3, 3
2020/7/30, 40, , 24, , 3, 3
2020/7/31, 48, , 12, , 3, 2
2020/8/1, 25, , 30, , 2, 2
2020/8/2, 71, , 35, , 2, 2
2020/8/3, 38, , 30, , 2, 3
2020/8/4, 49, , 36, , 2, 3
2020/8/5, 74, , 33, , 3, 3
2020/8/6, 65, , 18, , 4, 3
2020/8/7, 60, , , , , 
2020/8/9, 46, , 17, , 2, 3
2020/8/10, 33, , 26, , 3, 3
2020/8/11, 41, , 20, , 2, 3
2020/8/12, 48, , 26, , 2, 3
2020/8/13, 43, , , , , 
2020/8/16, 94, , 30, , 3, 3
2020/8/17, 48, , 24, , 2, 3
2020/8/18, 56, , 17, , 3, 3
2020/8/19, 47, , 4, , 3, 3
2020/8/20, 28, , , , , 
2020/8/23, 66, , 36, , 2, 3
2020/8/24, 55, , 29, , 2, 3
2020/8/25, 49, , 24, , 2, 3
2020/8/26, 52, , 20, , 2, 3
2020/8/27, 36, , 13, , 3, 3
2020/8/28, 36, , 2, , 2, 3
2020/8/29, 13, , , , , 
2020/8/31, 45, , 22, , 2, 3
2020/9/1, 38, , 31, , 2, 3
2020/9/2, 43, , 44, , 2, 3
2020/9/3, 56, , 10, , 2, 3
2020/9/4, 23, , , , , 
2020/9/6, 47, , 21, , 2, 3
2020/9/7, 30, , 21, , 3, 3
2020/9/8, 42, , 32, , 2, 3
2020/9/9, 49, , 22, , 2, 3
2020/9/10, 45, , 26, , 2, 3
2020/9/11, 35, , 7, , 2, 2
2020/9/12, 38, , 29, , 2, 4
2020/9/13, 47, , 26, , 3, 3
2020/9/14, 40, , 28, , 2, 3
2020/9/15, 44, , 28, , 2, 3
2020/9/16, 51, , 30, , 2, 3
2020/9/17, 44, , 11, , 2, 3
2020/9/18, 35, , , , , 
2020/9/21, 59, , 27, , 2, 3
2020/9/22, 43, , 4, , 2, 3
2020/9/23, 7, , , , , 
2020/9/30, 71, , 32, , 2, 3
2020/10/1, 63, , 40, , 3, 3
2020/4/2, 101, , 40, 14, 1, 3
2020/4/3, 100, , 23, 5, , 3
2020/4/4, 65, , , , , 
2020/4/6, 88, , 30, 13, , 5
2020/4/7, 92, , 35, 10, , 2
2020/4/8, 92, , 39, 13, , 6
2020/4/9, 99, , 42, 11, , 5
2020/4/10, 87, , 31, 14, , 4
2020/4/11, 80, , 19, 8, , 3
2020/4/12, 56, , 26, 48, , 3
2020/4/13, 105, , 40, 11, , 
2020/4/14, 84, , 51, 21, , 
2020/4/15, 106, , 35, 15, , 
2020/4/16, 87, , 43, 10, , 
2020/4/17, 107, , 43, 12, , 
2020/4/18, 102, , 16, 8, , 
2020/4/19, 103, , , , , 
2020/4/21, 90, , 65, 17, , 
2020/4/22, 103, , 49, , , 2
2020/4/23, 99, , 44, , , 3
2020/4/24, 101, , 51, , , 4
2020/4/25, 83, , 58, , , 4
2020/4/26, 117, , 45, , , 4
2020/4/27, 105, , 54, , , 3
2020/4/28, 95, , 40, , , 4
2020/4/29, 105, , 66, , , 4
2020/4/30, 100, , 45, , , 3
2020/5/1, 129, , 24, , , 3
2020/5/2, 60, , 47, , , 4
2020/5/3, 103, , 58, , , 4
2020/5/4, 88, , 59, , , 3
2020/5/5, 96, , 50, , , 3
2020/5/6, 75, , 46, , , 2
2020/5/7, 56, , 44, , , 2
2020/5/8, 56, , 51, , , 4
2020/5/9, 77, , 49, , , 3
2020/5/10, 70, , 43, , , 4
2020/5/11, 72, , 45, , , 3
2020/5/12, 81, , 44, 67, , 4
2020/5/13, 86, , 52, 14, , 4
2020/5/14, 86, , 52, 84, 1, 5
2020/5/15, 89, , 28, , 1, 3
2020/5/16, 117, , 35, , , 12
2020/5/17, 83, , 44, , , 11
2020/5/18, 86, , 62, , , 11
2020/5/19, 107, , 52, , 1, 7
2020/5/20, 110, , 29, , 1, 6
2020/5/21, 75, , 23, , 1, 2
2020/5/22, 84, , 32, , , 
2020/5/23, 81, , 33, , 1, 
2020/5/24, 68, , 45, , , 
2020/5/25, 70, , 51, , 1, 
2020/5/26, 84, , 58, , 1, 
2020/5/27, 93, , 65, , 2, 
2020/5/28, 124, , 61, , 1, 
2020/5/29, 122, , 29, , 1, 
2020/5/30, 74, , 35, , , 
2020/5/31, 114, , 49, , 1, 
2020/6/1, 67, , 34, , 1, 
2020/6/2, 58, , 67, , 1, 
2020/6/3, 77, , 38, , , 
2020/6/4, 87, , 34, , 7, 22
2020/6/5, 91, , 36, , 13, 6
2020/6/6, 76, , 58, , 8, 2
2020/6/7, 105, , 33, , 4, 1
2020/6/8, 78, , 35, , 6, 2
2020/6/9, 80, , 72, , 6, 1
2020/6/10, 78, , 35, , 2, 1
2020/6/11, 98, , 34, , 2, 2
2020/6/12, 82, , 24, , 4, 1
2020/6/13, 60, , 37, , 5, 1
2020/6/14, 92, , 50, , , 1
2020/6/15, 76, , 58, , 6, 1
2020/6/16, 72, , 60, , 4, 2
2020/6/17, 78, , 76, , 1, 1
2020/6/18, 82, , 67, , 8, 1
2020/6/19, 83, , 52, , 4, 1
2020/6/20, 66, , 59, , 7, 2
2020/6/21, 97, , 72, , , 1
2020/6/22, 55, , 60, , , 1
2020/6/23, 54, , 41, , , 4
2020/6/24, 53, , 32, , , 3
2020/6/25, 54, , 24, , , 4
2020/6/26, 54, , 17, , , 5
2020/6/27, 50, , 31, , , 1
2020/6/28, 77, , 31, , , 4
2020/6/29, 64, , 42, , , 3
2020/6/30, 54, , 49, , , 3
2020/7/1, 83, , 35, , , 2
2020/1/2, 106, 16, 21, , , 
2020/1/3, 47, , 29, , 1, 2
2020/1/4, 73, , , , 5, 5
2020/1/5, 110, , , , , 
2020/1/9, 102, , 41, , 2, 3
2020/1/10, 104, , 21, , 1, 1
2020/1/11, 73, , 33, , 1, 2
2020/1/12, 83, , 32, , 1, 2
2020/1/13, 91, , 38, , 2, 3
2020/1/14, 85, , 43, , 2, 3
2020/1/15, 103, , 42, , 1, 2
2020/1/16, 98, , 34, , 1, 1
2020/1/17, 92, , 34, , , 1
2020/1/18, 82, , 30, , , 1
2020/1/19, 87, , 26, , , 
2020/1/20, 74, , 25, , , 
2020/1/21, 56, , 33, , , 2
2020/1/22, 80, 21, 21, , , 1
2020/1/23, 67, 43, 16, 20, 1, 5
2020/1/24, 96, 82, , 26, 4, 10
2020/1/25, 149, 26, 17, 16, , 
2020/1/26, 71, 17, 17, 6, , 
2020/1/27, 49, 29, 28, 14, , 2
2020/1/28, 69, 39, 34, 22, 1, 2
2020/1/29, 89, 47, 30, 10, , 1
2020/1/30, 95, 32, 19, 11, , 
2020/1/31, 65, 21, 12, 9, , 
2020/2/1, 38, 34, 23, 6, , 1
2020/2/2, 81, 23, 22, 10, , 1
2020/2/3, 61, 29, 3, 13, , 1
2020/2/4, 36, 32, 9, 11, , 2
2020/2/5, 45, 32, 11, 6, , 1
2020/2/6, 46, 32, 24, 17, 1, 2
2020/2/7, 65, 32, , 30, 6, 9
2020/2/8, 148, 33, 32, 13, 1, 2
2020/2/9, 70, 33, 22, 11, , 2
2020/2/10, 59, 32, 16, 9, , 1
2020/2/11, 71, , 24, 9, , 1
2020/2/12, 77, , 17, 10, , 1
2020/2/13, 73, , 24, 14, , 2
2020/2/14, 89, , 3, 21, 2, 2
2020/2/15, 94, , 45, 13, , 2
2020/2/16, 91, , 36, 12, , 2
2020/2/17, 75, , 43, 15, 1, 3
2020/2/18, 85, , 50, 19, 2, 3
2020/2/19, 103, , 41, 18, 1, 2
2020/2/20, 96, , 49, 25, , 2
2020/2/21, 99, , 8, , 1, 3
2020/2/22, 93, , 57, , , 1
2020/2/23, 107, , 27, , , 1
2020/2/24, 73, , 28, 11, 1, 4
2020/2/25, 94, , 28, 20, 1, 6
2020/2/26, 94, , 50, 25, , 6
2020/2/27, 101, , 37, 15, 8, 5
2020/2/28, 101, , 15, , 1, 5
2020/2/29, 74, , 60, 16, , 3
2020/3/1, 112, , 29, 14, , 3
2020/3/2, 78, , 33, 20, , 4
2020/3/3, 91, , 27, 14, , 4
2020/3/4, 99, , 22, 11, , 2
2020/3/5, 77, , 41, 23, 1, 6
2020/3/6, 115, , , , , 
2020/3/8, 120, , 60, 13, 1, 3
2020/3/9, 97, , 37, 16, , 4
2020/3/10, 86, , 47, 21, 1, 5
2020/3/11, 101, , 49, 38, , 4
2020/3/12, 104, , 39, 24, 1, 5
2020/3/13, 110, , 11, 27, 1, 4
2020/3/14, 81, , , , , 
2020/3/17, 101, , 50, 15, , 4
2020/3/18, 80, , , , , 
2020/3/26, 108, , 59, 13, , 5
2020/3/27, 114, , 21, 9, 1, 5
2020/3/28, 55, , , , , 
2019/11/29, 13, 52, 30, , 1, 
2019/11/30, 13, , 38, , 1, 
2019/12/2, 13, , 30, , 1, 
2019/12/3, 13, , 30, , 1, 
2019/12/4, 13, , 33, , 1, 
2019/12/5, 13, 43, 38, , 1, 
2019/12/6, 13, 62, 48, , 2, 
2019/12/7, 13, 61, 42, , 2, 
2019/12/8, 13, 60, 30, , 1, 
2019/12/9, 13, 68, 52, , 2, 
2019/12/10, 13, 57, 35, , 1, 
2019/12/11, 13, 57, 38, , 2, 
2019/12/12, 13, 62, 34, , 1, 
2019/12/13, 13, 72, 37, , 1, 
2019/12/15, 13, , 31, , 1, 
2019/12/16, 13, , 22, , 1, 
2019/12/17, 67, , 21, , 1, 2
2019/12/18, 101, , 32, , 2, 2
2019/12/19, 99, , 28, , 1, 1
2019/12/20, 102, , 13, , , 
2019/12/24, 74, , 29, , 2, 2
2019/12/25, 61, , 26, , 1, 2
2019/12/26, 60, , 27, , 1, 1
2019/12/27, 71, 50, 30, , 1, 2
2019/12/28, 84, 52, 19, , 2, 3
2019/12/29, 42, 15, 8, , 2, 1
2019/7/2, 49, 45, 112, , 5, 11
2019/7/3, 44, 24, 95, , 6, 11
2019/7/4, 47, 35, 108, , 6, 10
2019/7/5, 48, 33, 86, , 6, 10
2019/7/6, 42, 44, 89, , 7, 9
2019/7/7, 52, 35, 79, , 7, 10
2019/7/8, 55, 41, 122, , 7, 11
2019/7/9, 47, 46, 113, , 7, 14
2019/7/10, 49, 70, 117, , 6, 45
