date, pm25, pm10, o3, no2, so2, co
2020/12/1, 78, 27, 36, 20, 2, 8
2020/12/2, 65, 24, 15, 7, 1, 6
2020/12/3, 86, 28, 37, 19, 2, 6
2020/12/5, 50, 16, 14, 13, 1, 4
2020/12/6, 47, 12, 16, 11, 1, 3
2020/12/7, 55, 16, 11, 20, 1, 7
2020/12/8, 65, 20, 16, 20, , 7
2020/12/9, 72, 24, 27, 24, 1, 9
2020/12/10, 94, 33, 41, 25, 1, 7
2020/12/11, 68, 23, 24, 17, 1, 6
2020/12/12, 57, 19, 23, 19, , 6
2020/12/13, 67, 20, , , , 6
2020/12/14, 57, 16, , , , 7
2020/12/15, 81, 26, , , , 7
2020/12/16, 68, 22, , , , 7
2020/12/17, 78, 24, , , , 7
2020/12/18, 78, 29, , , , 7
2020/12/19, 94, 36, 29, 17, 2, 10
2020/12/20, 75, 27, 33, 26, 1, 7
2020/12/21, 87, 33, 52, 32, 2, 12
2020/12/22, 104, 40, 36, 33, 1, 10
2020/12/23, 86, 33, 30, 30, 2, 10
2020/12/24, 92, 27, 22, 30, 2, 8
2020/1/21, 197, 35, 16, 40, , 12
2020/1/22, 154, 33, 39, 25, , 2
2019/4/10, 86, 32, 54, 19, 2, 3
2019/4/11, 110, 42, 48, 25, 2, 4
2019/4/12, 102, 35, 49, 19, 1, 3
2019/4/13, 90, 30, 28, 36, 2, 5
2019/4/14, 122, 46, 48, 12, 2, 3
2019/4/15, 78, 31, 78, 19, 1, 3
2019/4/16, 118, 49, 59, 23, 2, 4
2019/4/17, 129, 57, 50, 27, 1, 3
2019/4/18, 99, 34, 32, 20, 2, 3
2019/4/19, 75, 22, 45, 12, 2, 2
2019/4/20, 113, 41, 48, 12, 1, 3
2019/4/21, 115, 46, 20, 45, 1, 5
2019/4/23, 87, 30, 37, 11, 2, 2
2019/4/24, 93, 30, 38, 19, 1, 3
2019/4/25, 71, 22, 28, 17, 1, 2
2019/4/26, 80, 26, 58, 18, 2, 3
2019/4/27, 116, 42, 79, 23, 1, 4
